RANK,NAME,LANGUAGE,TYPE,MOST_STREAMED_GAME,2ND_MOST_STREAMED_GAME,AVERAGE_STREAM_DURATION,FOLLOWERS_GAINED_PER_STREAM,AVG_VIEWERS_PER_STREAM,AVG_GAMES_PER_STREAM,TOTAL_TIME_STREAMED,TOTAL_FOLLOWERS,TOTAL_VIEWS,TOTAL_GAMES_STREAMED,ACTIVE_DAYS_PER_WEEK,MOST_ACTIVE_DAY,DAY_WITH_MOST_FOLLOWERS_GAINED
33,legendus_shaka,Japanese,personality,Street Fighter 6,,6.9,16.467,0,1,7,29100,0,1,1,Sunday,Sunday
34,paulinholokobr,Portuguese,personality,Grand Theft Auto V,Slots,3.0,6.917,203,1.2,1.618,2930000,86000,15,2.5,Wednesday,Tuesday
35,squeezie,French,personality,Just Chatting,Garry's Mod,3.8,8.500,113.477,1.8,2.525,5030000,66700000,287,1.7,Thursday,Saturday
36,kamet0,French,personality,League of Legends,Just Chatting,6.6,647,37.566,2.6,16.141,1880000,108000000,604,6.2,Wednesday,Sunday
37,gronkh,German,personality,Just Chatting,Minecraft,6.0,1.463,116.486,2.7,7.598,1680000,112000000,686,3.2,Friday,Friday
38,kingsleagueamericas,Spanish,personality,Sports,Fortnite,3.4,13.617,0,1,134,467000,0,3,1.3,Sunday,Wednesday
39,mixwell,Spanish,personality,VALORANT,Counter-Strike,4.8,1.124,27.368,1.1,4.432,1090000,26400000,42,2.3,Sunday,Sunday
40,brawlstars,English,esports,Brawl Stars,Variety,5.8,2.048,54.303,1,826,332000,8800000,2,0.5,Sunday,Friday
41,summit1g,English,personality,Grand Theft Auto V,Escape from Tarkov,10.1,1.861,162.001,1.7,26.449,6270000,505000000,328,6.7,Tuesday,Saturday
42,lirik,English,personality,Just Chatting,PUBG: BATTLEGROUNDS,6.6,638,117.105,4,15.993,2970000,422000000,2710,6.1,Sunday,Monday
43,desst3,Spanish,personality,Grand Theft Auto V,Minecraft,5.6,464,10.358,1.3,7.586,574000,12800000,44,5.1,Friday,Tuesday
44,wirtual,English,personality,Trackmania,TrackMania 2: Stadium,6.0,609,6.434,1.2,5.162,501000,5290000,42,2.3,Friday,Saturday
45,warframe,English,personality,Warframe,Special Events,1.2,1.896,30.886,1,1.416,2080000,36300000,2,3.1,Friday,Saturday
46,nicewigg,English,personality,Apex Legends,Call of Duty: Warzone,6.3,484,9.867,1.1,10.622,800000,16300000,49,6.1,Tuesday,Sunday
47,stylishnoob4,Japanese,personality,Apex Legends,PUBG: BATTLEGROUNDS,7.6,487,60.412,1.5,14.593,1050000,129000000,324,4.9,Friday,Sunday
48,rocketleague,English,esports,Rocket League,,5.0,4.823,349.645,1,4.260,4220000,312000000,1,2.2,Sunday,Sunday
49,k3soju,English,personality,Teamfight Tactics,Fortnite,8.3,478,17.940,1.1,10.868,583000,21900000,24,4.1,Wednesday,Sunday
50,rubius,Spanish,personality,Just Chatting,Minecraft,4.7,11.592,212.445,3.1,6.806,15000000,273000000,616,5,Sunday,Wednesday
51,zubarefff,Russian,personality,Just Chatting,Virtual Casino,2.9,3.009,0,1.1,1.380,1820000,464,14,4.5,Sunday,Sunday
52,tenz,English,personality,VALORANT,Counter-Strike,4.2,4.050,53.836,1.4,4.400,3970000,52800000,99,2.7,Saturday,Sunday
53,otplol_,French,esports,League of Legends,Just Chatting,23.6,506,72.599,1,26.839,731000,100000000,7,6.5,Friday,Wednesday
54,casimito,Portuguese,personality,Just Chatting,Sports,6.2,3.446,33.501,2,6.786,3880000,37800000,75,3.7,Monday,Sunday
55,cameliaaa92,French,personality,Grand Theft Auto V,Just Chatting,4.5,1.250,0,1.8,2.057,553000,0,28,4.2,Wednesday,Sunday
56,piratesoftware,English,personality,Software and Game Development,Science & Technology,7.3,427,446,1.3,12.373,721000,756000,173,4.8,Monday,Monday
57,alanzoka,Portuguese,personality,Just Chatting,Fortnite,5.8,4.221,122.314,2.9,11.794,7110000,206000000,906,5.2,Thursday,Friday
58,valorant_americas,English,esports,Valorant,,5.9,2.796,43.529,1,1.614,752000,11700000,1,1.5,Saturday,Sunday
59,gofns,English,personality,VALORANT,Counter-Strike,6.0,987,270,1.1,1.967,333000,171000,13,0.9,Thursday,Sunday
60,goa7league,Italian,personality,Just Chatting,,6.2,5.017,0,1,191,158000,0,1,0.6,Friday,Sunday
61,nexxuz,Spanish,personality,Grand Theft Auto V,World of Warcraft,4.5,6.163,11.542,1.5,248,335000,759000,11,0.2,Tuesday,Sunday
62,ohnepixel,English,personality,Counter-Strike,Just Chatting,6.4,1.309,2.790,1.2,6.041,1260000,2690000,40,4.3,Sunday,Friday
63,tsm_imperialhal,English,personality,Apex Legends,Fortnite,6.3,1.281,44.445,1,10.637,2029999,70500000,36,4.9,Thursday,Sunday
64,mizkif,English,personality,Just Chatting,World of Warcraft,5.5,1.443,71.268,2,9.697,2080000,103000000,323,4.7,Wednesday,Monday
65,zetadivision,Japanese,personality,VALORANT,Just Chatting,5.1,9.901,49.751,1,21,40400,201000,3,0,Friday,Tuesday
66,elmariana,Spanish,personality,Just Chatting,Minecraft,3.7,11.093,38.471,2.5,3.404,9610000,33299999,328,4.2,Wednesday,Tuesday
67,angryginge13,English,personality,Grand Theft Auto V,FIFA 23,4.8,1.029,348,1.7,4.668,935000,316000,80,5.1,Friday,Sunday
68,lvndmark,English,personality,Escape from Tarkov,Call of Duty: Warzone,9.1,800,39.761,1.2,14.685,1260000,62700000,62,6.8,Monday,Friday
69,nmplol,English,personality,Just Chatting,World of Warcraft,4.1,550,29.722,1.4,6.940,1100000,54700000,161,4.3,Saturday,Saturday
70,bisteconee,Portuguese,personality,Just Chatting,Grand Theft Auto V,4.3,675,152,2.4,4.065,612000,138000,219,6.7,Wednesday,Friday
71,loltyler1,English,personality,League of Legends,IRL,7.7,3.030,178.397,1.3,14.679,5310000,301000000,187,4.8,Wednesday,Tuesday
72,valorant_jpn,Japanese,esports,VALORANT,Variety,7.5,1.378,58.460,1,2.985,554000,23400000,2,1.9,Sunday,Saturday
73,bratishkinoff,Russian,personality,Just Chatting,Counter-Strike,4.9,1.533,60.566,1.8,8.865,2900000,114000000,482,4.7,Thursday,Wednesday
74,noway4u_sir,German,personality,League of Legends,VALORANT,7.6,152,23.556,1.2,19.176,679000,101000000,101,6.5,Wednesday,Sunday
75,forsen,English,personality,Just Chatting,Minecraft,6.2,502,51.554,2.7,14.686,1750000,171000000,1334,6.1,Wednesday,Sunday
76,easportsfc,English,esports,FIFA 21,FIFA 22,4.8,7.474,129.293,1,2.203,3520000,63100000,10,1.2,Friday,Thursday
77,alondrissa,Spanish,personality,Just Chatting,Grand Theft Auto V,3.6,921,88,1.5,2.652,723000,68800,55,5.6,Wednesday,Monday
78,youngmulti,Polish,personality,Just Chatting,Grand Theft Auto V,5.8,2.324,16.052,2.2,3.025,1150000,9490000,205,2.9,Tuesday,Monday
79,s0mcs,English,personality,VALORANT,Counter-Strike,5.8,741,11.273,1.3,8.560,1140000,17400000,72,4.2,Tuesday,Sunday
80,rainbow6,English,esports,Tom Clancy's Rainbow Six Siege,Variety,7.4,2.031,82.334,1,8.775,2830000,115000000,2,3,Thursday,Sunday
81,fantasista_jp,Japanese,personality,Grand Theft Auto V,VALORANT,6.3,201,44,1.1,5.182,267000,58000,55,2.5,Sunday,Saturday
82,sodapoppin,English,personality,World of Warcraft,Just Chatting,7.0,4.259,145.940,3.9,14.929,8890000,398000000,2084,5.4,Saturday,Friday
83,spursito,Spanish,personality,Just Chatting,Grand Theft Auto V,2.7,1.282,11.461,1.2,2.918,1460000,13000000,47,2.8,Sunday,Sunday
84,jltomy,French,personality,Grand Theft Auto V,Just Chatting,6.1,630,25.285,2.8,12.057,1250000,50300000,239,5.9,Wednesday,Sunday
85,emiru,English,personality,League of Legends,Just Chatting,3.1,1.614,17.198,1.5,3.867,1510000,16100000,133,3.2,Thursday,Monday
86,recrent,Russian,personality,PUBG: BATTLEGROUNDS,Call of Duty: Warzone,7.7,527,30.730,1.6,16.864,1270000,74300000,157,6.3,Tuesday,Wednesday
87,kanae_2434,Japanese,personality,Grand Theft Auto V,VALORANT,5.2,937,2.659,1.4,2.724,582000,1650000,66,1.7,Friday,Saturday
88,baiano,Portuguese,personality,League of Legends,Just Chatting,8.4,879,53.242,1.1,10.107,1000000,60500000,22,3.1,Saturday,Saturday
89,moonmoon,English,personality,Overwatch,Grand Theft Auto V,6.1,369,34.598,1.3,15.957,1190000,99500000,561,6.7,Tuesday,Friday
90,thebausffs,English,personality,League of Legends,Overwatch 2,5.5,943,16.707,1,7.317,1250000,22100000,14,4.4,Monday,Sunday
91,fissure_cs_eng,English,personality,Counter-Strike,,6.0,256,18.637,1,6.078,147000,14200000,1,1.5,Tuesday,Tuesday
92,imantado,Spanish,personality,Just Chatting,Grand Theft Auto V,4.5,683,3.173,1.9,5.713,909000,4220000,210,5.8,Wednesday,Sunday
93,handofblood,German,personality,PUBG: BATTLEGROUNDS,Fortnite,4.8,2.405,50.115,1.7,1.944,1120000,22500000,155,1,Wednesday,Saturday
94,esports_rage,Japanese,esports,Apex Legends,VALORANT,7.8,2.480,36.289,1,674,209000,3050000,5,0.5,Sunday,Saturday
95,tck10,Portuguese,personality,VALORANT,Virtual Casino,7.8,445,2.648,1.1,8.245,481000,2860000,29,4.8,Wednesday,Sunday
96,esl_dota2,English,esports,Dota 2,,20.3,606,54.843,1,34.047,802000,93100000,1,4.4,Friday,Sunday
97,xayoo_,Polish,personality,League of Legends,Just Chatting,6.4,1.457,76.275,2,5.564,1030000,53700000,132,2.2,Sunday,Sunday
98,rostislav_999,Russian,personality,Dota 2,Just Chatting,3.9,1.140,7.175,1.1,2.873,868000,5470000,14,3.2,Monday,Monday
99,gorgc,English,personality,Dota 2,PUBG: BATTLEGROUNDS,6.6,312,36.210,1.1,15.475,720000,83400000,88,6.2,Monday,Monday
100,buster,Russian,personality,Just Chatting,Fortnite,3.2,2.963,85.485,1.7,4.024,3950000,114000000,125,3.5,Wednesday,Friday
101,domingo,French,personality,Just Chatting,League of Legends,4.5,915,61.195,2,7.294,1780000,121000000,443,4.1,Tuesday,Sunday
102,elxokas,Spanish,personality,World of Warcraft,Just Chatting,6.2,2.134,52.430,1.6,11.068,3940000,96900000,137,5,Monday,Monday
103,quackitytoo,Spanish,personality,Minecraft,Just Chatting,1.9,18.808,14.365,1.3,517,4620000,3510000,33,1.6,Friday,Wednesday
104,k4sen,Japanese,personality,League of Legends,VALORANT,6.2,428,5.546,1.4,8.836,786000,10200000,248,3.7,Tuesday,Sunday
105,s1mple,English,personality,Counter-Strike,VALORANT,3.5,7.152,186.280,1.1,1.889,3740000,99100000,20,1.4,Wednesday,Monday
106,silvername,Russian,personality,Hearthstone,Dota 2,6.2,343,69.400,1.2,12.717,862000,159000000,115,5.3,Thursday,Wednesday
107,gotaga,French,personality,Fortnite,Teamfight Tactics,6.9,1.893,83.426,1.8,14.351,4330000,185000000,187,5.3,Monday,Monday
108,tolkin,German,personality,League of Legends,Teamfight Tactics,6.4,158,6.062,1.3,10.965,309000,11800000,105,5.4,Thursday,Wednesday
109,djmariio,Spanish,personality,EA Sports FC 24,Sports,4.0,6.534,12.638,1.3,865,1540000,3220000,12,0.7,Friday,Friday
110,shadowkekw,Russian,personality,Just Chatting,Counter-Strike,2.3,619,10.742,1.4,2.093,562000,9740000,63,4.3,Saturday,Sunday
111,valorant_pacific,English,esports,Valorant,,6.4,1.770,3.556,1,1.121,315000,634000,1,1.2,Sunday,Saturday
112,revedtv,German,personality,Just Chatting,Minecraft,6.5,1.383,31.529,2.2,5.526,1110000,25100000,253,2.8,Wednesday,Saturday
113,hinanotachiba7,Japanese,personality,VALORANT,League of Legends,5.2,1.235,241,1.2,1.869,467000,94200,29,3.1,Wednesday,Tuesday
114,quin69,English,personality,Path of Exile,World of Warcraft,8.7,252,38.716,1.4,22.547,840000,113000000,272,6.6,Thursday,Monday
115,luquet4,Portuguese,personality,Grand Theft Auto V,Counter-Strike,7.8,2.233,5.657,1.5,6.787,1760000,4450000,33,3,Thursday,Friday
116,rivers_gg,Spanish,personality,Just Chatting,Minecraft,3.6,8.757,6.622,2.1,2.634,6060000,4560000,204,5.6,Tuesday,Wednesday
117,paymoneywubby,English,personality,Just Chatting,Fortnite,3.5,647,12.124,1.4,3.465,634000,11900000,114,3,Thursday,Sunday
118,elspreen,Spanish,personality,Just Chatting,Minecraft,3.1,10.670,37.943,2.4,3.527,9240000,32900000,189,3.2,Tuesday,Tuesday
119,warcraft,English,esports,World of Warcraft,,5.6,1.603,147.236,1,2.844,803000,82600000,1,1,Saturday,Tuesday
120,cellbit,Portuguese,personality,Just Chatting,Tabletop RPGs,5.6,2.462,62.004,3,9.223,3360000,84100000,1151,4.2,Saturday,Sunday
121,clix,English,personality,Fortnite,Just Chatting,4.4,4.766,78.053,1.2,7.467,7540000,123000000,49,5.5,Wednesday,Friday
122,maximilian_dood,English,personality,Just Chatting,Monster Hunter: World,6.8,461,33.731,2.1,13.589,1280000,84300000,1121,5.1,Monday,Tuesday
123,dkincc,Russian,personality,Just Chatting,Grand Theft Auto V,5.0,2.739,1.608,1,813,471000,370000,10,0.5,Wednesday,Sunday
124,knekro,Spanish,personality,League of Legends,Just Chatting,6.5,663,37.604,2.4,12.950,1140000,64400000,724,5.7,Tuesday,Tuesday
125,eslcsb,English,esports,Counter-Strike,,6.5,1.084,59.976,1,6.053,1240000,67000000,1,2.4,Wednesday,Sunday
126,valorant_emea,English,esports,Valorant,,7.8,1.591,10.674,1,2.297,576000,3860000,1,1.6,Saturday,Wednesday
127,trymacs,German,personality,Fortnite,Clash Royale,6.0,1.611,67.780,1.9,12.653,3560000,148000000,173,5.3,Monday,Thursday
128,thesketchreal,English,personality,Madden NFL 24,Just Chatting,2.6,7.574,0,1.2,303,962000,0,25,2.6,Friday,Thursday
129,ironmouse,English,personality,Just Chatting,Minecraft,5.6,1.699,18.660,2,7.369,1960000,21500000,393,4.3,Friday,Friday
130,plaqueboymax,English,personality,Just Chatting,Music,4.5,1.035,220,1.7,3.208,735000,157000,66,4.5,Monday,Monday
131,dmitry_lixxx,Russian,personality,Just Chatting,Counter-Strike,4.2,833,26.405,2.2,6.441,1410000,44700000,422,4.9,Saturday,Friday
132,elajjaz,English,personality,Dark Souls,ELDEN RING,8.1,137,25.834,2.1,18.785,481000,70400000,1148,5.9,Wednesday,Sunday
133,therealknossi,German,personality,Just Chatting,Poker,4.6,1.766,40.784,1.5,14.505,2340000,68700000,48,3.7,Thursday,Saturday
134,agent00,English,personality,Just Chatting,Grand Theft Auto V,4.9,2.738,616,2.1,3.487,1560000,361000,140,1.8,Thursday,Tuesday
135,wtcn,Turkish,personality,VALORANT,Just Chatting,4.8,1.556,75.799,2.5,8.948,2930000,142000000,260,4.8,Friday,Tuesday
136,gamerbrother,German,personality,FIFA 23,EA Sports FC 24,5.1,1.325,9.215,1.5,2.207,570000,3620000,22,3.5,Friday,Tuesday
137,esfandtv,English,personality,World of Warcraft,Just Chatting,8.6,588,35.686,2.1,18.613,1350000,81900000,327,6.2,Thursday,Monday
138,nikof,French,personality,Fortnite,Rust,4.7,585,8.528,1.2,4.951,649000,9460000,57,3.4,Saturday,Sunday
139,jonvlogs,Portuguese,personality,Grand Theft Auto V,Just Chatting,8.7,1.854,12.474,1.6,8.848,1970000,13400000,71,2.6,Friday,Wednesday
140,ramee,English,personality,Grand Theft Auto V,VALORANT,7.1,466,32.957,1.2,9.943,589000,41700000,56,3.9,Wednesday,Wednesday
141,xmerghani,Polish,personality,Just Chatting,Grand Theft Auto V,4.5,884,6.828,2.5,3.050,562000,4310000,136,4.1,Wednesday,Saturday
142,rezo,German,personality,Just Chatting,Gartic Phone,4.2,3.015,33.173,1.3,893,656000,7100000,30,1.2,Sunday,Saturday
143,cohhcarnage,English,personality,Path of Exile,Talk Shows & Podcasts,7.4,167,32.809,1.2,20.458,1570000,223000000,907,7,Friday,Thursday
144,jasontheween,English,personality,Just Chatting,VALORANT,6.0,578,2,2.5,3.121,302000,1200,158,1.7,Thursday,Monday
145,gocchanmikey,Japanese,personality,Grand Theft Auto V,Rust,8.2,834,0,1.2,1.426,164000,0,34,1.9,Tuesday,Sunday
146,simurgh,English,personality,Ashes of Creation,The Elder Scrolls Online,3.5,1.038,409,1.5,6.262,1480000,639000,227,4.6,Sunday,Friday
147,jasper7se,Japanese,personality,VALORANT,League of Legends,6.6,448,23.844,1.3,8.970,613000,32600000,117,3.5,Saturday,Sunday
148,leb1ga,Ukrainian,personality,Just Chatting,Counter-Strike,2.6,1.597,2,1.1,542,332000,7700,12,1,Tuesday,Sunday
149,riotgamesjp,Japanese,esports,League of Legends,League of Legends: Wild Rift,5.8,371,78.443,1,4.473,310000,63500000,7,2,Saturday,Sunday
150,mastersnakou,French,personality,Just Chatting,Escape from Tarkov,6.0,189,11.807,2.4,13.356,685000,33800000,745,5.7,Friday,Sunday
151,stray228,Russian,personality,Dota 2,The Last of Us Part II,6.0,734,55.905,1,12.578,1600000,120000000,14,5.4,Wednesday,Thursday
152,northernlion,English,personality,Super Auto Pets,The Binding of Isaac: Repentance,3.8,260,13.005,2.5,7.653,688000,37000000,830,5.1,Thursday,Tuesday
153,stableronaldo,English,personality,Fortnite,Just Chatting,3.9,3.302,47.216,2,4.075,3090000,44200000,112,3.8,Saturday,Sunday
154,bren_tm2,English,personality,Trackmania,TrackMania (1),3.9,198,3.449,1.1,3.348,162000,2800000,32,2.9,Tuesday,Sunday
155,unboxholics,English,personality,Variety,Talk Shows & Podcasts,2.1,1.329,33.493,1,1.173,459000,12000000,190,1.4,Friday,Friday
156,davooxeneize,Spanish,personality,Just Chatting,Winning Eleven: Pro Evolution Soccer 2007,5.1,2.075,2.102,1.2,4.449,1860000,1880000,9,4.8,Tuesday,Monday
157,hiiragitsurugi,Japanese,personality,Grand Theft Auto V,VALORANT,7.0,1.024,0,1.2,1.104,179000,0,15,4.3,Thursday,Saturday
158,hanjoudesu,Japanese,personality,Apex Legends,VALORANT,5.7,331,4.251,1.3,4.270,271000,3480000,88,4,Wednesday,Sunday
159,gabepeixe,Portuguese,personality,Just Chatting,Grand Theft Auto V,8.8,1.373,17.551,2.8,11.963,1520000,19500000,280,3.8,Wednesday,Sunday
160,roger9527,Chinese,personality,Hearthstone,League of Legends,7.5,333,33.004,1.5,3.543,196000,18200000,46,1.2,Friday,Sunday
161,juansguarnizo,Spanish,personality,Just Chatting,Grand Theft Auto V,5.2,5.678,84.694,2.7,11.163,11200000,168000000,333,5.5,Thursday,Friday
162,locklear,French,personality,Just Chatting,Overwatch,5.3,1.195,35.123,2.1,10.867,2200000,64700000,531,5.3,Wednesday,Thursday
163,bysl4m,Russian,personality,Counter-Strike,VALORANT,6.1,642,1.491,1.1,2.753,314000,2770000,13,1.2,Friday,Saturday
164,sasatikk,Japanese,personality,Escape from Tarkov,Rust,7.1,223,10.980,1.6,10.745,344000,16900000,237,3.9,Monday,Sunday
165,pauleta_twitch,French,personality,Just Chatting,Call of Duty: Modern Warfare III,3.4,866,6.531,1.4,3.149,613000,4530000,50,2.4,Monday,Wednesday
166,magic,English,esports,Magic: The Gathering,Magic: The Gathering (1),4.8,295,55.757,1,7.211,472000,121000000,2,2.9,Thursday,Sunday
167,lenagol0vach,Russian,personality,Hearthstone,Dota 2,5.9,381,18.774,1.4,7.782,585000,29500000,30,3.4,Sunday,Sunday
168,antoinedaniel,French,personality,GeoGuessr,Just Chatting,4.6,846,30.484,1.4,6.241,1030000,37300000,249,4,Monday,Sunday
169,dreadztv,Russian,personality,Dota 2,Mount & Blade II: Bannerlord,8.2,234,94.945,2.1,11.445,715000,199000000,309,3.6,Wednesday,Thursday
170,lacy,English,personality,Fortnite,Just Chatting,5.6,1.021,6,1.3,3.064,537000,3500,52,2.6,Monday,Sunday
171,fortnite,English,esports,Fortnite,,5.2,18.889,352.166,1,1.726,5880000,110000000,1,0.9,Sunday,Tuesday
172,sykkuno,English,personality,Grand Theft Auto V,League of Legends,5.0,4.688,123.683,2.4,5.014,3930000,104000000,155,3.5,Wednesday,Thursday
173,botezlive,English,personality,Chess,Just Chatting,4.2,842,56.182,1.4,6.409,1300000,86400000,77,4,Friday,Sunday
174,m0nesyof,Russian,personality,Counter-Strike,Dota 2,3.1,2.640,31.467,1.1,1.152,1000000,11900000,13,1.2,Saturday,Monday
175,esl_dota2ember,English,esports,Dota 2,,20.4,827,148.524,1,23.430,605000,137000000,1,2.9,Wednesday,Tuesday
176,wankilstudio,French,personality,Just Chatting,Minecraft,3.2,1.578,28.771,1.8,2.282,1250000,25500000,483,1.8,Sunday,Tuesday
177,rdcgaming,English,personality,Fortnite,Call of Duty: Warzone,3.8,1.241,3.957,1.8,2.227,717000,2270000,172,1.5,Wednesday,Sunday
178,aztecross,English,personality,Destiny 2,Destiny,5.0,306,1.959,1.1,7.012,446000,2850000,107,3.6,Tuesday,Tuesday
179,worldoftanks,English,esports,World of Tanks,Project CW,3.8,596,37.723,1,2.930,462000,29300000,2,2.3,Friday,Sunday
180,evo,English,esports,Special Events,Tekken 7,8.4,6.359,338.908,2.5,614,571000,53500000,40,0.2,Monday,Sunday
181,amazonmusic,English,personality,Music,Just Chatting,2.2,803,73.454,1,1.768,692000,65000000,15,2,Tuesday,Sunday
182,guilty1223,Japanese,personality,VALORANT,Grand Theft Auto V,6.4,107,346,1.1,7.140,158000,512000,109,5.7,Wednesday,Wednesday
183,cr_vanilla,Japanese,personality,Grand Theft Auto V,Rust,6.2,751,0,1,1.695,225000,0,46,3.7,Wednesday,Sunday
184,h2p_gucio,Polish,personality,Just Chatting,League of Legends,6.7,220,24.403,3.2,14.031,421000,46300000,797,5.4,Sunday,Wednesday
185,jesusavgn,Russian,personality,Just Chatting,IRL,4.7,894,38.859,2.2,8.782,1780000,75600000,551,4.8,Saturday,Thursday
186,rdjavi,Spanish,personality,Grand Theft Auto V,Just Chatting,3.6,1.034,445,1.9,2.691,756000,325000,38,4.4,Friday,Thursday
187,maximebiaggi,French,personality,Minecraft,Just Chatting,3.1,2.008,1.055,1.4,1.060,665000,349000,43,1.8,Monday,Monday
188,joueur_du_grenier,French,personality,Just Chatting,Special Events,4.3,1.349,32.261,2,2.843,974000,22400000,341,2.2,Sunday,Saturday
189,skywhywalker,Russian,personality,Counter-Strike,Just Chatting,4.2,1.418,792,1.5,2.586,866000,484000,49,2.4,Sunday,Sunday
190,nba2kleague,English,esports,NBA 2K22,NBA 2K20,3.0,261,211.701,1,2.882,237000,192000000,8,3,Saturday,Saturday
191,wenlobong,Chinese,personality,Just Chatting,Street Fighter 6,4.2,217,19.944,1.1,1.329,71100,6520000,16,1.5,Sunday,Friday
192,vodkavdk,Japanese,personality,VALORANT,Apex Legends,5.8,511,1.105,1.3,4.939,526000,1170000,88,2.2,Saturday,Sunday
